"","subj","variable","wbeing_wid"
"1",1202,"X.24",NA
"2",2301,"X.24",NA
"3",4601,"X.24",NA
"4",4901,"X.24",NA
"5",5302,"X.24",NA
"6",5702,"X.24",NA
"7",8402,"X.24",NA
"8",9102,"X.24",NA
"9",9901,"X.24",NA
"10",10101,"X.24",NA
"11",10301,"X.24",7
"12",10602,"X.24",NA
"13",10702,"X.24",NA
"14",12901,"X.24",NA
"15",13601,"X.24",NA
"16",14002,"X.24",NA
"17",14402,"X.24",NA
"18",16301,"X.24",NA
"19",16801,"X.24",NA
"20",17001,"X.24",NA
"21",17302,"X.24",NA
"22",17702,"X.24",NA
"23",19502,"X.24",NA
"24",19802,"X.24",NA
"25",20002,"X.24",NA
"26",20801,"X.24",NA
"27",21302,"X.24",NA
"28",22102,"X.24",NA
"29",24402,"X.24",NA
"30",25002,"X.24",NA
"31",25202,"X.24",NA
"32",27502,"X.24",NA
"33",30102,"X.24",NA
"34",31502,"X.24",NA
"35",31802,"X.24",NA
"36",34302,"X.24",NA
"37",36401,"X.24",NA
"38",41901,"X.24",NA
"39",43301,"X.24",NA
"40",43802,"X.24",NA
"41",46402,"X.24",NA
"42",46501,"X.24",NA
"43",46801,"X.24",NA
"44",47001,"X.24",NA
"45",49701,"X.24",NA
"46",51202,"X.24",NA
"47",51402,"X.24",NA
"48",51604,"X.24",NA
"49",52003,"X.24",NA
"50",53101,"X.24",NA
"51",53902,"X.24",10
"52",54001,"X.24",NA
"53",54902,"X.24",NA
"54",55702,"X.24",NA
"55",56402,"X.24",NA
"56",57403,"X.24",7
"57",57501,"X.24",NA
"58",58602,"X.24",NA
"59",63301,"X.24",NA
"60",63404,"X.24",NA
"61",63901,"X.24",NA
"62",64401,"X.24",NA
"63",65102,"X.24",NA
"64",65502,"X.24",NA
"65",67502,"X.24",NA
"66",67901,"X.24",NA
"67",68702,"X.24",NA
"68",69402,"X.24",NA
"69",69602,"X.24",NA
"70",70501,"X.24",NA
"71",70702,"X.24",NA
"72",70801,"X.24",NA
"73",72201,"X.24",NA
"74",72602,"X.24",NA
"75",73203,"X.24",NA
"76",73401,"X.24",NA
"77",73602,"X.24",NA
"78",73902,"X.24",NA
"79",74202,"X.24",NA
"80",74302,"X.24",NA
"81",74801,"X.24",NA
"82",75702,"X.24",NA
"83",75902,"X.24",NA
"84",76302,"X.24",NA
"85",76802,"X.24",NA
"86",77902,"X.24",NA
"87",80202,"X.24",NA
"88",80304,"X.24",NA
"89",80602,"X.24",NA
"90",81402,"X.24",NA
"91",81602,"X.24",NA
"92",83702,"X.24",NA
"93",83902,"X.24",NA
"94",84102,"X.24",NA
"95",84803,"X.24",NA
"96",85102,"X.24",NA
"97",85302,"X.24",NA
"98",85502,"X.24",NA
"99",87002,"X.24",NA
"100",87102,"X.24",NA
"101",88201,"X.24",NA
"102",90702,"X.24",NA
"103",91701,"X.24",NA
"104",92202,"X.24",NA
"105",92502,"X.24",NA
"106",93302,"X.24",NA
"107",93402,"X.24",NA
"108",95901,"X.24",NA
"109",96401,"X.24",NA
"110",96602,"X.24",NA
"111",96802,"X.24",7
"112",97001,"X.24",NA
"113",98002,"X.24",NA
"114",99302,"X.24",NA
"115",99304,"X.24",NA
"116",99502,"X.24",NA
"117",99902,"X.24",NA
"118",101401,"X.24",NA
"119",102402,"X.24",NA
"120",102602,"X.24",NA
"121",102701,"X.24",NA
"122",102902,"X.24",NA
"123",104102,"X.24",NA
"124",106902,"X.24",NA
"125",109802,"X.24",NA
"126",111902,"X.24",NA
"127",112102,"X.24",NA
"128",112202,"X.24",NA
"129",112301,"X.24",NA
"130",112501,"X.24",7
"131",113302,"X.24",NA
"132",113503,"X.24",NA
"133",113801,"X.24",NA
"134",115802,"X.24",NA
"135",120302,"X.24",NA
"136",121202,"X.24",NA
"137",121601,"X.24",NA
"138",122002,"X.24",NA
"139",122203,"X.24",NA
"140",122802,"X.24",NA
"141",123902,"X.24",NA
"142",126702,"X.24",NA
"143",127202,"X.24",NA
"144",127802,"X.24",NA
"145",128602,"X.24",NA
"146",129311,"X.24",NA
"147",129502,"X.24",NA
"148",130201,"X.24",NA
"149",130302,"X.24",NA
"150",130902,"X.24",NA
"151",131103,"X.24",NA
"152",135301,"X.24",NA
"153",136402,"X.24",NA
"154",138602,"X.24",NA
"155",140601,"X.24",NA
"156",141402,"X.24",NA
"157",142202,"X.24",NA
"158",143501,"X.24",NA
"159",143602,"X.24",NA
"160",143802,"X.24",NA
"161",145302,"X.24",NA
"162",145902,"X.24",NA
"163",146204,"X.24",NA
"164",146701,"X.24",NA
"165",147301,"X.24",NA
"166",149201,"X.24",NA
"167",150502,"X.24",NA
"168",150901,"X.24",NA
"169",151102,"X.24",NA
"170",152601,"X.24",NA
"171",153103,"X.24",NA
"172",153201,"X.24",NA
"173",154401,"X.24",NA
"174",154502,"X.24",NA
"175",154802,"X.24",NA
"176",155402,"X.24",NA
"177",156202,"X.24",NA
"178",159702,"X.24",NA
"179",160202,"X.24",NA
"180",160702,"X.24",NA
"181",161303,"X.24",NA
"182",162001,"X.24",NA
"183",162202,"X.24",NA
"184",162501,"X.24",NA
"185",164902,"X.24",NA
"186",165602,"X.24",NA
"187",166302,"X.24",NA
"188",166702,"X.24",NA
"189",167301,"X.24",NA
"190",167801,"X.24",NA
"191",168002,"X.24",NA
"192",168501,"X.24",NA
"193",168602,"X.24",NA
"194",169502,"X.24",NA
"195",169802,"X.24",NA
"196",170801,"X.24",NA
"197",171702,"X.24",NA
"198",173602,"X.24",10
"199",173801,"X.24",NA
"200",176002,"X.24",NA
"201",178802,"X.24",NA
"202",180002,"X.24",NA
"203",181501,"X.24",NA
"204",183402,"X.24",NA
"205",183602,"X.24",NA
"206",184202,"X.24",NA
"207",185502,"X.24",NA
"208",185901,"X.24",NA
"209",186202,"X.24",NA
"210",187102,"X.24",NA
"211",191302,"X.24",NA
"212",192301,"X.24",NA
"213",193101,"X.24",NA
"214",193401,"X.24",NA
"215",194002,"X.24",NA
"216",195902,"X.24",NA
"217",196601,"X.24",NA
"218",196702,"X.24",NA
"219",196801,"X.24",NA
"220",196803,"X.24",NA
"221",197902,"X.24",NA
"222",198102,"X.24",NA
"223",198402,"X.24",NA
"224",198502,"X.24",NA
"225",198802,"X.24",NA
"226",199802,"X.24",NA
"227",200401,"X.24",NA
"228",202002,"X.24",NA
"229",202702,"X.24",NA
"230",203002,"X.24",NA
"231",205101,"X.24",NA
"232",205902,"X.24",NA
"233",206102,"X.24",NA
"234",206602,"X.24",NA
"235",208002,"X.24",NA
"236",208802,"X.24",NA
"237",211602,"X.24",NA
"238",211701,"X.24",NA
"239",211802,"X.24",NA
"240",213101,"X.24",NA
"241",215502,"X.24",NA
